DATE,PSUNOUSDM
1/1/1990,588.0362319
2/1/1990,608.475
3/1/1990,618.0757576
4/1/1990,609.5079365
5/1/1990,621.7681159
6/1/1990,612.3730159
7/1/1990,589.2878788
8/1/1990,581.1521739
9/1/1990,580.1333333
10/1/1990,594.2318841
11/1/1990,601.6666667
12/1/1990,638.1587302
1/1/1991,625.4855072
2/1/1991,593.75
3/1/1991,571.3571429
4/1/1991,556.469697
5/1/1991,566.6956522
6/1/1991,588.6833333
7/1/1991,579.2246377
8/1/1991,575.6136364
9/1/1991,600.4603175
10/1/1991,600.8405797
11/1/1991,605.1349206
12/1/1991,581.6590909
1/1/1992,554.5797101
2/1/1992,525.6666667
3/1/1992,566.8787879
4/1/1992,582.8106061
5/1/1992,566.2301587
6/1/1992,581.5151515
7/1/1992,568.5956522
8/1/1992,543.4904762
9/1/1992,554.7424242
10/1/1992,567.9848485
11/1/1992,568.1904762
12/1/1992,565.484058
1/1/1993,582.515873
2/1/1993,570.7916667
3/1/1993,574.5869565
4/1/1993,607.1363636
5/1/1993,640.1492063
6/1/1993,649.8575758
7/1/1993,695.0545455
8/1/1993,698.1060606
9/1/1993,713.9393939
10/1/1993,756.531746
11/1/1993,792.5590909
12/1/1993,904.8405797
1/1/1994,891.0396825
2/1/1994,792.11
3/1/1994,770.2043478
4/1/1994,757.8888889
5/1/1994,756.9924242
6/1/1994,722.0454545
7/1/1994,660.6190476
8/1/1994,643.3478261
9/1/1994,667
10/1/1994,647.4761905
11/1/1994,685.25
12/1/1994,688.3863636
1/1/1995,669.0909091
2/1/1995,641.4
3/1/1995,645.4782609
4/1/1995,620.75
5/1/1995,613.2173913
6/1/1995,641.1363636
7/1/1995,671.047619
8/1/1995,643
9/1/1995,627.3809524
10/1/1995,629.6363636
11/1/1995,600.9090909
12/1/1995,577.4761905
1/1/1996,568.7391304
2/1/1996,567.047619
3/1/1996,549.6666667
4/1/1996,594.9545455
5/1/1996,617.9130435
6/1/1996,585.35
7/1/1996,567.826087
8/1/1996,565.8636364
9/1/1996,561.952381
10/1/1996,517.5652174
11/1/1996,515.2857143
12/1/1996,512.5454545
1/1/1997,527.3913043
2/1/1997,522.15
3/1/1997,533.3333333
4/1/1997,533.2727273
5/1/1997,551.7272727
6/1/1997,534.1904762
7/1/1997,523.6086957
8/1/1997,532.9047619
9/1/1997,550.7727273
10/1/1997,591.3043478
11/1/1997,652
12/1/1997,630.0434783
1/1/1998,629.3181818
2/1/1998,637.45
3/1/1998,661.7272727
4/1/1998,687.2727273
5/1/1998,747.7142857
6/1/1998,717
7/1/1998,701.8695652
8/1/1998,658.5238095
9/1/1998,651.5
10/1/1998,643.4545455
11/1/1998,639.4761905
12/1/1998,607.4347826
1/1/1999,570.6666667
2/1/1999,481.7
3/1/1999,454.2608696
4/1/1999,475.7272727
5/1/1999,491.9047619
6/1/1999,462.6363636
7/1/1999,436.8636364
8/1/1999,460.2272727
9/1/1999,464.3181818
10/1/1999,437.7142857
11/1/1999,431.3181818
12/1/1999,430.2173913
1/1/2000,428.5238095
2/1/2000,405.5238095
3/1/2000,406.8695652
4/1/2000,436
5/1/2000,412.9130435
6/1/2000,373.2272727
7/1/2000,353.8571429
8/1/2000,352.6521739
9/1/2000,354.8571429
10/1/2000,338.9090909
11/1/2000,332.5454545
12/1/2000,356.047619
1/1/2001,346.9130435
